文件名,特征,特征面数,打标签数量,准确率(%)
GFR_01859 , contact ,91,91,100.0
GFR_01858 , boss ,292,292,100.0
GFR_01858 , clip ,110,110,100.0
GFR_01858 , contact ,164,164,100.0
GFR_01858 , rib ,131,131,100.0
GFR_01857 , rib ,25,25,100.0
GFR_01857 , clip ,58,58,100.0
GFR_01824 , boss ,164,164,100.0
GFR_01856 , rib ,25,25,100.0
GFR_01856 , contact ,33,33,100.0
GFR_01856 , clip ,58,58,100.0
GFR_01855 , contact ,251,251,100.0
GFR_01854 , rib ,32,32,100.0
GFR_01854 , contact ,67,67,100.0
GFR_01852 , contact ,27,27,100.0
GFR_01852 , rib ,277,277,100.0
GFR_01861 , clip ,239,239,100.0
GFR_01861 , contact ,14,14,100.0
GFR_01861 , rib ,251,251,100.0
GFR_01862 , clip ,32,32,100.0
GFR_01874 , boss ,54,54,100.0
GFR_01873 , rib ,55,55,100.0
GFR_01872 , rib ,56,56,100.0
GFR_01871 , clip ,46,46,100.0
GFR_01871 , rib ,25,25,100.0
GFR_01870 , rib ,25,25,100.0
GFR_01933 , clip ,78,78,100.0
GFR_01869 , contact ,31,31,100.0
GFR_01868 , boss ,76,76,100.0
GFR_01868 , contact ,88,88,100.0
GFR_01867 , rib ,10,10,100.0
GFR_01867 , contact ,67,67,100.0
GFR_01866 , boss ,76,76,100.0
GFR_01866 , contact ,86,86,100.0
GFR_01865 , boss ,15,15,100.0
GFR_01864 , boss ,15,15,100.0
GFR_01863 , clip ,32,32,100.0
GFR_01851 , rib ,135,135,100.0
GFR_01850 , boss ,70,70,100.0
GFR_01850 , contact ,33,33,100.0
GFR_01836 , clip ,155,155,100.0
GFR_01833 , contact ,90,90,100.0
GFR_01832 , rib ,192,192,100.0
GFR_01832 , contact ,122,122,100.0
GFR_01832 , clip ,39,39,100.0
GFR_01831 , rib ,50,50,100.0
GFR_01831 , contact ,12,12,100.0
GFR_01830 , clip ,36,36,100.0
GFR_01830 , rib ,146,146,100.0
GFR_01829 , rib ,63,63,100.0
GFR_01829 , clip ,93,93,100.0
GFR_01829 , boss ,17,17,100.0
GFR_01828 , boss ,184,184,100.0
GFR_01827 , contact ,12,12,100.0
GFR_01827 , rib ,50,50,100.0
GFR_01826 , clip ,36,36,100.0
GFR_01825 , clip ,93,93,100.0
GFR_01824 , rib ,117,117,100.0
GFR_01833 , clip ,39,39,100.0
GFR_01836 , rib ,234,234,100.0
GFR_01850 , rib ,179,179,100.0
GFR_01837 , clip ,26,26,100.0
GFR_01848 , rib ,51,51,100.0
GFR_01848 , boss ,279,279,100.0
GFR_01847 , boss ,281,281,100.0
GFR_01847 , rib ,51,51,100.0
GFR_01846 , contact ,38,38,100.0
GFR_01846 , clip ,341,341,100.0
GFR_01845 , boss ,882,882,100.0
GFR_01845 , contact ,29,29,100.0
GFR_01844 , contact ,29,29,100.0
GFR_01844 , boss ,808,808,100.0
GFR_01841 , contact ,133,133,100.0
GFR_01839 , clip ,26,26,100.0
GFR_01839 , rib ,6,6,100.0
GFR_01838 , contact ,165,165,100.0
GFR_01838 , rib ,234,234,100.0
GFR_01838 , clip ,155,155,100.0
GFR_01837 , rib ,6,6,100.0
GFR_01933 , boss ,112,112,100.0
GFR_01947 , contact ,34,34,100.0
GFR_01933 , contact ,24,24,100.0
GFR_02105 , contact ,7,7,100.0
GFR_02111 , contact ,60,60,100.0
GFR_02109 , rib ,28,28,100.0
GFR_02109 , clip ,56,56,100.0
GFR_02108 , rib ,28,28,100.0
GFR_02108 , clip ,56,56,100.0
GFR_02106 , boss ,21,21,100.0
GFR_02105 , rib ,57,57,100.0
GFR_02103 , rib ,11,11,100.0
GFR_02099 , clip ,84,84,100.0
GFR_02103 , clip ,122,122,100.0
GFR_02102 , rib ,10,10,100.0
GFR_02102 , boss ,37,37,100.0
GFR_02101 , clip ,33,33,100.0
GFR_02101 , rib ,119,119,100.0
GFR_02100 , clip ,37,37,100.0
GFR_02100 , rib ,149,149,100.0
GFR_02111 , clip ,17,17,100.0
GFR_02113 , clip ,22,22,100.0
GFR_02113 , contact ,56,56,100.0
GFR_02113 , rib ,45,45,100.0
GFR_02127 , contact ,30,30,100.0
GFR_02125 , rib ,66,66,100.0
GFR_02125 , clip ,18,18,100.0
GFR_02124 , clip ,57,57,100.0
GFR_02123 , rib ,315,315,100.0
GFR_02122 , rib ,51,51,100.0
GFR_02122 , clip ,18,18,100.0
GFR_02121 , clip ,57,57,100.0
GFR_02120 , clip ,128,128,100.0
GFR_02118 , rib ,34,34,100.0
GFR_02118 , clip ,33,33,100.0
GFR_02117 , clip ,9,9,100.0
GFR_02116 , clip ,9,9,100.0
GFR_02115 , clip ,20,20,100.0
GFR_02115 , rib ,89,89,100.0
GFR_02099 , rib ,82,82,100.0
GFR_02097 , rib ,90,90,100.0
GFR_01933 , rib ,88,88,100.0
GFR_02062 , rib ,53,53,100.0
GFR_02065 , clip ,57,57,100.0
GFR_02064 , rib ,30,30,100.0
GFR_02064 , contact ,24,24,100.0
GFR_02064 , clip ,67,67,100.0
GFR_02063 , clip ,65,65,100.0
GFR_02063 , contact ,24,24,100.0
GFR_02063 , rib ,32,32,100.0
GFR_02062 , clip ,99,99,100.0
GFR_02097 , boss ,10,10,100.0
GFR_02062 , boss ,26,26,100.0
GFR_02061 , boss ,39,39,100.0
GFR_02060 , clip ,95,95,100.0
GFR_02060 , rib ,78,78,100.0
GFR_02060 , contact ,77,77,100.0
GFR_02060 , boss ,25,25,100.0
GFR_02059 , contact ,11,11,100.0
GFR_02065 , rib ,80,80,100.0
GFR_02066 , clip ,65,65,100.0
GFR_02066 , rib ,80,80,100.0
GFR_02068 , clip ,67,67,100.0
GFR_02094 , rib ,122,122,100.0
GFR_02094 , clip ,179,179,100.0
GFR_02093 , clip ,176,176,100.0
GFR_02092 , contact ,103,103,100.0
GFR_02092 , boss ,50,50,100.0
GFR_02088 , rib ,215,215,100.0
GFR_02087 , contact ,229,229,100.0
GFR_02086 , contact ,229,229,100.0
GFR_02082 , rib ,107,107,100.0
GFR_02082 , clip ,84,84,100.0
GFR_02081 , boss ,384,384,100.0
GFR_02078 , contact ,148,148,100.0
GFR_02075 , rib ,17,17,100.0
GFR_02072 , contact ,60,60,100.0
GFR_02072 , clip ,1452,1452,100.0
GFR_02128 , rib ,93,93,100.0
GFR_02128 , clip ,38,38,100.0
GFR_02129 , rib ,92,92,100.0
GFR_02176 , clip ,55,55,100.0
GFR_02181 , rib ,109,109,100.0
GFR_02178 , rib ,54,54,100.0
GFR_02178 , clip ,111,111,100.0
GFR_02177 , rib ,81,81,100.0
GFR_02177 , boss ,10,10,100.0
GFR_02177 , clip ,53,53,100.0
GFR_02176 , rib ,80,80,100.0
GFR_02176 , boss ,10,10,100.0
GFR_02129 , clip ,38,38,100.0
GFR_02175 , rib ,66,66,100.0
GFR_02174 , rib ,65,65,100.0
GFR_02173 , contact ,59,59,100.0
GFR_02173 , boss ,30,30,100.0
GFR_02171 , contact ,12,12,100.0
GFR_02170 , contact ,12,12,100.0
GFR_02168 , clip ,108,108,100.0
GFR_02181 , boss ,5,5,100.0
GFR_02182 , clip ,97,97,100.0
GFR_02182 , rib ,31,31,100.0
